Organization Name,Website,Contact Information,Specialization
Habitat for Humanity International,https://www.habitat.org/,https://www.habitat.org/contact,Housing and community development
Save the Children,https://www.savethechildren.org/,https://www.savethechildren.org/contact-us,Children's rights and emergency relief
World Food Programme,https://www.wfp.org/,https://www.wfp.org/contact,Food assistance and hunger relief
WaterAid,https://www.wateraid.org/,https://www.wateraid.org/contact,"Clean water, sanitation, and hygiene"
Plan International,https://plan-international.org/,https://plan-international.org/contact-us,Children's rights and equality for girls
Heifer International,https://www.heifer.org/,https://www.heifer.org/contact,Sustainable agriculture and food security
GlobalGiving,https://www.globalgiving.org/,https://www.globalgiving.org/contact-us/,Crowdfunding for grassroots projects
Rainforest Alliance,https://www.rainforest-alliance.org/,https://www.rainforest-alliance.org/contact,Biodiversity conservation and sustainable livelihoods
Room to Read,https://www.roomtoread.org/,https://www.roomtoread.org/contact-us/,Education and literacy
Kiva,https://www.kiva.org/,https://www.kiva.org/contact,Microfinance and economic development
The Nature Conservancy,https://www.nature.org/,https://www.nature.org/en-us/about-us/contact-us/,Environmental conservation and climate change
Amnesty International,https://www.amnesty.org/,https://www.amnesty.org/en/contact/,Human rights advocacy
Rotary International,https://www.rotary.org/,https://www.rotary.org/en/contact-us,Community development and humanitarian service
SOS Children's Villages,https://www.sos-childrensvillages.org/,https://www.sos-childrensvillages.org/contact,Child care and family support
World Wildlife Fund,https://www.worldwildlife.org/,https://www.worldwildlife.org/contact,Wildlife conservation and endangered species
Transparency International,https://www.transparency.org/,https://www.transparency.org/en/contact,Anti-corruption and good governance
International Fund for Animal Welfare,https://www.ifaw.org/,https://www.ifaw.org/contact,Animal welfare and conservation
CARE,https://www.care.org/,https://www.care.org/contact-us,Emergency relief and development assistance
World Resources Institute,https://www.wri.org/,https://www.wri.org/contact,Environmental research and policy
International Rescue Committee,https://www.rescue.org/,https://www.rescue.org/contact-us,Humanitarian aid and refugee assistance
United Nations Volunteers,https://www.unv.org/,https://www.unv.org/contact-us,Volunteer opportunities with the United Nations
Ashoka,https://www.ashoka.org/,https://www.ashoka.org/en/contact,Social entrepreneurship and innovation
World Vision,https://www.worldvision.org/,https://www.worldvision.org/contact-us,Child sponsorship and community development
International Planned Parenthood Federation,https://www.ippf.org/,https://www.ippf.org/contact,Sexual and reproductive health
The Hunger Project,https://www.thp.org/,https://www.thp.org/contact/,Sustainable solutions to end hunger
Earthwatch Institute,https://earthwatch.org/,https://earthwatch.org/contact-us,Environmental research and citizen science
International Union for Conservation of Nature,https://www.iucn.org/,https://www.iucn.org/contact,Nature conservation and sustainable development
World Health Organization,https://www.who.int/,https://www.who.int/about/contact-us,Global public health
United Nations Development Programme,https://www.undp.org/,https://www.undp.org/content/undp/en/home/contact-us.html,Sustainable development and poverty reduction
International Labour Organization,https://www.ilo.org/,https://www.ilo.org/global/about-the-ilo/contact-us/lang--en/index.htm,Decent work and social justice
United Nations Environment Programme,https://www.unep.org/,https://www.unep.org/about/contact,Environmental protection and sustainable development
"United Nations Educational, Scientific and Cultural Organization",https://en.unesco.org/,https://en.unesco.org/about-us/contact-us,"Education, science, and culture"
United Nations Children's Fund,https://www.unicef.org/,https://www.unicef.org/contact,Children's rights and well-being
United Nations High Commissioner for Refugees,https://www.unhcr.org/,https://www.unhcr.org/contact-us.html,Refugee protection and assistance
United Nations Office for the Coordination of Humanitarian Affairs,https://www.unocha.org/,https://www.unocha.org/contact,Humanitarian coordination and response
United Nations Population Fund,https://www.unfpa.org/,https://www.unfpa.org/contact,Reproductive health and population issues
United Nations World Food Programme,https://www.wfp.org/,https://www.wfp.org/contact,Food assistance and hunger relief
United Nations Human Settlements Programme,https://unhabitat.org/,https://unhabitat.org/contact-us,Sustainable urban development and housing
United Nations Industrial Development Organization,https://www.unido.org/,https://www.unido.org/contact,Industrial development and poverty reduction
United Nations Office on Drugs and Crime,https://www.unodc.org/,https://www.unodc.org/unodc/en/contact-us.html,"Drug control, crime prevention, and criminal justice"
United Nations Entity for Gender Equality and the Empowerment of Women,https://www.unwomen.org/,https://www.unwomen.org/en/about-us/contact-us,Gender equality and women's empowerment
United Nations Office for Project Services,https://www.unops.org/,https://www.unops.org/contact-us,Project management and infrastructure development
United Nations Relief and Works Agency for Palestine Refugees in the Near East,https://www.unrwa.org/,https://www.unrwa.org/contact-us,Assistance and protection for Palestine refugees
United Nations Institute for Training and Research,https://www.unitar.org/,https://www.unitar.org/about/contact-us,Training and capacity development for UN Member States
United Nations Research Institute for Social Development,https://www.unrisd.org/,https://www.unrisd.org/80256B3C005BCCF9/(httpPages)/9FB1D547C5B6B5B6C1257D460033E6C5?OpenDocument,Social development research and policy analysis
United Nations System Staff College,https://www.unssc.org/,https://www.unssc.org/contact-us/,Training and learning for UN staff
United Nations University,https://unu.edu/,https://unu.edu/contact,"Research, policy analysis, and capacity development in global issues"
United Nations Volunteers,https://www.unv.org/,https://www.unv.org/contact-us,Volunteer opportunities with the United Nations
United Nations World Tourism Organization,https://www.unwto.org/,https://www.unwto.org/contact,Sustainable tourism and development
